dua_seq,section_title_bn,page_start,page_end,entry_number_bn,arabic,transliteration_bn,translation_bn,reference_bn,notes,raw_pages,parse_status,review_flag,source_excerpt
1,১. ঘুম থেকে জেগে উঠার সময়ের যিকিরসমূহ,23,23,১-(১),اَلْحَمْدُ لِلّٰهِ الَّذِيْ أَحْيَانَا بَعْدَ مَا أَمَاتَنَا وَإِلَيْهِ النُّشُوْرُ,আলহামদু লিল্লা-হিল্লাযী আহইয়া-না- বা'দা মা- আমা-তানা- ওয়া ইলাইহিন নুশূর,"""হামদ-প্রশংসা আল্লাহর জন্য, যিনি (নিদ্রারূপ) মৃত্যুর পর আমাদেরকে জীবিত করলেন, আর তাঁরই নিকট সকলের পুনরুত্থান""।","বুখারী ফাতহুল বারী ১১/১১৩, নং ৬৩১৪; মুসলিম ৪/২০৮৩, নং ২৭১১।",,23,ok,,"اَلْحَمْدُ لِلّٰهِ الَّذِيْ أَحْيَانَا بَعْدَ مَا أَمَاتَنَا وَإِلَيْهِ النُّشُوْرُ (আলহামদু লিল্লা-হিল্লাযী আহইয়া-না- বা'দা মা- আমা-তানা- ওয়া ইলাইহিন নুশূর) ""হামদ-প্রশংসা আল্লাহর জন্য, যিনি (নিদ্রারূপ) মৃত্যুর পর আমাদেরকে জীবিত করলেন, আর তাঁরই নিকট সকলের পুনরুত্থান""। বুখারী ফাতহুল বারী ১১/১১৩, নং ৬"
2,১. ঘুম থেকে জেগে উঠার সময়ের যিকিরসমূহ,23,25,২-(২),لَا إِلٰهَ إِلَّا اللّٰهُ وَحْدَهُ لَا شَرِيكَ لَهُ لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ وَهُوَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ سُبْحَانَ اللّٰهِ وَالْحَمْدُ لِلّٰهِ وَلَا إِلٰهَ إِلَّا اللّٰهُ وَاللّٰهُ أَكْبَرُ وَلَا حَوْلَ وَلَا قُوَّةَ إِلَّا بِاللّٰهِ الْعَلِيِّ الْعَظِيمِ، رَبِّ اغْفِرْ لِي,"লা ইলা-হা ইল্লাল্লা-হু ওয়াহদাহূ লা- শারীকালাহূ, লাহুল মুলকু, ওয়ালাহুল হামদু, ওয়াহুয়া 'আলা কুল্লি শাইইন ক্বাদীর। সুবহা-নাল্লাহি, ওয়ালহামদু লিল্লাহি, ওয়া লা ইলা-হা ইল্লাল্লা-হু, ওয়াল্লা-হু আকবার, ওয়া লা- হাওলা ওয়া লা- কুওয়াতা ইল্লা- বিল্লা-হিল 'আলিয়্যিল 'আযীম, রব্বিগফির লী","""একমাত্র আল্লাহ ছাড়া কোনো হক ইলাহ নেই, তাঁর কোনো শরীক নেই; রাজত্ব তাঁরই, প্রশংসাও তাঁরই; আর তিনি সকল কিছুর ওপর ক্ষমতাবান। আল্লাহ পবিত্র-মহান। সকল হামদ-প্রশংসা আল্লাহর। আল্লাহ ছাড়া কোনো হক ইলাহ নেই। আল্লাহ সবচেয়ে বড়। সুউচ্চ সুমহান আল্লাহর সাহায্য ছাড়া (পাপ কাজ থেকে দূরে থাকার) কোনো উপায় এবং (সৎকাজ করার) কোনো শক্তি কারো নেই। হে রব্ব! আমাকে ক্ষমা করুন""।","যে ব্যক্তি তা বলবে তাকে ক্ষমা করে দেওয়া হবে। যদি সে দো'আ করে, তবে তার দো'আ কবুল হবে। যদি সে উঠে অযু করে নামায পড়ে, তবে তার নামায কবুল করা হবে। বুখারী, ফাতহুল বারী, ৩/৩৯, নং ১১৫৪। হাদীসের ভাষ্য ইবন মাজাহ এর অনুরূপ। দেখুন, সহীহ ইবন মাজাহ: ২/৩৩৫।",continued_from_previous_or_next_page,"23,24,25",ok,,لَا إِلٰهَ إِلَّا اللّٰهُ وَحْدَهُ لَا شَرِيكَ لَهُ لَهُ الْمُلْكُ وَلَهُ الْحَمْدُ وَهُوَ عَلَى كُلِّ شَيْءٍ قَدِيرٌ سُبْحَانَ اللّٰهِ وَالْحَمْدُ لِلّٰهِ وَلَا إِلٰهَ إِلَّا اللّٰهُ وَاللّٰهُ أَكْبَرُ وَلَا حَوْلَ وَلَا قُوَّةَ إِلَّا بِاللّٰهِ الْعَلِيِّ الْعَظِيمِ، رَبِّ اغْفِرْ لِي (লা ইলা-হা ই
3,১. ঘুম থেকে জেগে উঠার সময়ের যিকিরসমূহ,25,26,৩-(৩),اَلْحَمْدُ لِلّٰهِ الَّذِيْ عَافَانِيْ فِيْ جَسَدِيْ، وَرَدَّ عَلَيَّ رُوْحِيْ، وَأَذِنَ لِيْ بِذِكْرِهِ,"আলহামদু লিল্লা-হিল্লাযী 'আ-ফা-নী ফী জাসাদী, ওয়ারাদ্দা 'আলাইয়্যা রূহী ওয়া আযিনা লী বি যিকরিহী","""সকল হামদ-প্রশংসা আল্লাহর জন্য, যিনি আমার দেহকে নিরাপদ রেখেছেন, আমার রূহকে আমার নিকট ফেরত দিয়েছেন এবং আমাকে তাঁর যিকির করার অনুমতি (সুযোগ) দিয়েছেন""।","তিরমিযী ৫/৪৭৩, নং ৩৪০১। দেখুন, সহীহুত তিরমিযী, ৩/১৪৪।","reference_recovered_manual_override,continued_from_previous_or_next_page","25,26",ok,,"اَلْحَمْدُ لِلّٰهِ الَّذِيْ عَافَانِيْ فِيْ جَسَدِيْ، وَرَدَّ عَلَيَّ رُوْحِيْ، وَأَذِنَ لِيْ بِذِكْرِهِ (আলহামদু লিল্লা-হিল্লাযী 'আ-ফা-নী ফী জাসাদী, ওয়ারাদ্দা 'আলাইয়্যা রূহী ওয়া আযিনা লী বি যিকরিহী) ""সকল হামদ-প্রশংসা আল্লাহর জন্য, যিনি আমার দেহকে নিরাপদ রেখেছেন, আমার রূহকে আমার নিকট ফেরত দিয়েছেন এ"
4,১. ঘুম থেকে জেগে উঠার সময়ের যিকিরসমূহ,26,31,৪-(৪),إِنَّ فِي خَلْقِ السَّمَوَاتِ وَالْأَرْضِ وَاخْتِلَافِ اللَّيْلِ وَالنَّهَارِ لَآيَاتٍ لِأُولِي الْأَلْبَابِ الَّذِينَ يَذْكُرُونَ اللَّهَ قِيَامًا وَقُعُودًا وَعَلَىٰ جُنُوبِهِمْ وَيَتَفَكَّرُونَ فِي خَلْقِ السَّمَوَاتِ وَالْأَرْضِ رَبَّنَا مَا خَلَقْتَ هَٰذَا بَاطِلًا سُبْحَانَكَ فَقِنَا عَذَابَ النَّارِ رَبَّنَا إِنَّكَ مَنْ تُدْخِلِ النَّارَ فَقَدْ أَخْزَيْتَهُ وَمَا لِلظَّالِمِينَ مِنْ أَنْصَارٍ رَبَّنَا إِنَّنَا سَمِعْنَا مُنَادِيًا يُنَادِي لِلْإِيمَانِ أَنْ آمِنُوا بِرَبِّكُمْ فَآمَنَّا رَبَّنَا فَاغْفِرْ لَنَا ذُنُوبَنَا وَكَفِّرْ عَنَّا سَيِّئَاتِنَا وَتَوَفَّنَا مَعَ الْأَبْرَارِ رَبَّنَا وَآتِنَا مَا وَعَدْتَنَا عَلَىٰ رُسُلِكَ وَلَا تُخْزِنَا يَوْمَ الْقِيَامَةِ إِنَّكَ لَا تُخْلِفُ الْمِيعَادَ فَاسْتَجَابَ لَهُمْ رَبُّهُمْ أَنِّي لَا أُضِيعُ عَمَلَ عَامِلٍ مِنْكُمْ مِنْ ذَكَرٍ أَوْ أُنْثَىٰ بَعْضُكُمْ مِنْ بَعْضٍ ۖ فَالَّذِينَ هَاجَرُوا وَأُخْرِجُوا مِنْ دِيَارِهِمْ وَأُوذُوا فِي سَبِيلِي وَقَاتَلُوا وَقُتِلُوا لَأُكَفِّرَنَّ عَنْهُمْ سَيِّئَاتِهِمْ وَلَأُدْخِلَنَّهُمْ جَنَّاتٍ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ ثَوَابًا مِنْ عِنْدِ اللَّهِ ۚ وَاللَّهُ عِنْدَهُ حُسْنُ الثَّوَابِ لَا يَغُرَّنَّكَ تَقَلُّبُ الَّذِينَ كَفَرُوا فِي الْبِلَادِ مَتَاعٌ قَلِيلٌ ثُمَّ مَأْوَاهُمْ جَهَنَّمُ ۚ وَبِئْسَ الْمِهَادُ لَٰكِنِ الَّذِينَ اتَّقَوْا رَبَّهُمْ لَهُمْ جَنَّاتٌ تَجْرِي مِنْ تَحْتِهَا الْأَنْهَارُ خَالِدِينَ فِيهَا نُزُلًا مِنْ عِنْدِ اللَّهِ ۗ وَمَا عِنْدَ اللَّهِ خَيْرٌ لِلْأَبْرَارِ وَإِنَّ مِنْ أَهْلِ الْكِتَابِ لَمَنْ يُؤْمِنُ بِاللَّهِ وَمَا أُنْزِلَ إِلَيْكُمْ وَمَا أُنْزِلَ إِلَيْهِمْ خَاشِعِينَ لِلَّهِ لَا يَشْتَرُونَ بِآيَاتِ اللَّهِ ثَمَنًا قَلِيلًا ۗ أُولَٰئِكَ لَهُمْ أَجْرُهُمْ عِنْدَ رَبِّهِمْ ۗ إِنَّ اللَّهَ سَرِيعُ الْحِسَابِ يَا أَيُّهَا الَّذِينَ آمَنُوا اصْبِرُوا وَصَابِرُوا وَرَابِطُوا وَاتَّقُوا اللَّهَ لَعَلَّكُمْ تُفْلِحُونَ,"ইন্না ফী খলকিস্ সামাওয়াতি ওয়াল আরদি ওয়াখতিলাফিল লাইলি ওয়ান্নাহারি লা-আয়া-তিল লিউলিল আলবা-ব আল্লাযীনা ইয়াযকুরুনাল্লা-হা ক্বিয়া-মাওঁ ওয়া ক্বুউদাওঁ ওয়া 'আলা জুনূবিহিম ওয়াইয়াতাফাক্কারূনা ফী খলকিস্ সামাওয়াতি ওয়াল আরদি, রব্বানা মা খালাকতা হাযা বা-তিলান, সুবহা-নাকা ফাক্বিনা 'আযা-বান্ না-র রব্বানা ইন্নাকা মান তুদখিলিন্ না-রা ফাকাদ আখযাইতাহু, ওয়া মা লিয্যা-লিমীনা মিন আনসা-র রব্বানা ইন্নানা সামি'না মুনা-দিয়াইঁ ইউনাদী লিল ঈমানি আন আ-মিনূ বিরব্বিকুম ফা-আমান্না। রব্বানা ফাগফির লানা যুনূবানা ওয়া কাফফির 'আন্না সাইয়িআ-তিনা ওয়া তাওয়াফফানা মা'আল আবরা-র রব্বানা ওয়া আ-তিনা মা ওয়া'আদতানা 'আলা রুসুলিকা ওয়া লা তুখযিনা ইয়াওমাল ক্বিয়া-মাতি, ইন্নাকা লা তুখলিফুল মী'আদ। ফাস্তাজা-বা যমনকুম মিন যাকারিন ওয়া উনসা বা'দুকুম মিন বা'দ, ফাল্লাযীনা হা-জারূ ওয়া উখরিজূ মিন দিয়ারিহিম ওয়া ঊ- যূ ফী সাবীলী ওয়া কা-তালূ ওয়া কু-তিলূ লাউকাফফিরান্না 'আনহুম সাইয়িআ-তিহিম ওয়ালাউদখিলান্নাহুম জান্না-তিন তাজরী মিন তাহ-তিহাল আনহারু, ছাওয়া-বাম্ মিন 'ইনদিল্লাহি, ওয়াল্লা-হু ইনদাহু হুসনুছ ছাওয়া-ব। লা ইয়াগুররান্নাকা তাকাল্লুবুল্লাযীনা কাফারূ ফিল বিলা-দ মাতা'উন কালীলুন ছুম্মা মা'ওয়াহুম জাহান্নামু ওয়া বি'সাল মিহা-দ। লা-কিনিল্লাযীনাত্তাকাও রব্বাহুম লাহুম জান্না-তুন তাজরী মিন তাহতিহাল আনহারু খা-লিদীনা ফীহা নুযুলাম্ মিন 'ইনদিল্লাহি, ওয়ামা 'ইনদাল্লাযি খাইরুল্লিল আবরার ওয়াইন্না মিন আহলিল কিতা-বি লামাইউ'মিনু বিল্লাহি ওয়ামা উনযিলা ইলাইকুম ওয়ামা উনযিলা ইলাইহিম খা-শিঈনা লিল্লা-হি লা ইয়াশতারূনা বিআ-য়া-তিল্লাহি ছামানান কালীলা। উলা-ইকা লাহুম আজরুহুম 'ইনদা রব্বিহিম ইন্নাল্লা-হা সারী'উল হিসা-ব। ইয়া আয়্যুহাল্লাযীনা আ-মানুসবিরূ ওয়াসা-বিরূ ওয়া রা-বিতূ ওয়াত্তাকুল্লা-হা লা'আল্লাকুম তুফলিহূন","""নিশ্চয় আসমানসমূহ ও যমীনের সৃষ্টিতে, রাত ও দিনের পরিবর্তনে নিদর্শনাবলী রয়েছে বোধশক্তি সম্পন্ন লোকদের জন্য। যারা দাঁড়িয়ে, বসে ও শুয়ে আল্লাহর স্মরণ করে এবং আসমানসমূহ ও যমীনের সৃষ্টি সম্বন্ধে চিন্তা করে, আর বলে, 'হে আমাদের রব! আপনি এগুলো অনর্থক সৃষ্টি করেন নি, আপনি অত্যন্ত পবিত্র, অতএব আপনি আমাদেরকে আগুনের শাস্তি হতে রক্ষা করুন।' 'হে আমাদের রব! আপনি কাউকেও আগুনে নিক্ষেপ করলে তাকে তো আপনি নিশ্চয় হেয় করলেন এবং যালিমদের কোনো সাহায্যকারী নেই।' 'হে আমাদের রব, আমরা এক আহ্বায়ককে ঈমানের দিকে আহ্বান করতে শুনেছি, 'তোমরা তোমাদের রবের ওপর ঈমান আন।' কাজেই আমরা ঈমান এনেছি। হে আমাদের রব! আপনি আমাদের পাপরাশি ক্ষমা করুন, আমাদের মন্দ কাজগুলো দূরীভূত করুন এবং আমাদেরকে সৎকর্মপরায়ণদের সহগামী করে মৃত্যু দিন। 'হে আমাদের রব! আপনার রাসূলগণের মাধ্যমে আমাদেরকে যা দিতে প্রতিশ্রুতি দিয়েছেন তা আমাদেরকে দান করুন এবং কিয়ামতের দিন আমাদেরকে হেয় করবেন না। নিশ্চয় আপনি প্রতিশ্রুতির ব্যতিক্রম করেন না।' তারপর তাদের রব তাদের ডাকে সাড়া দিয়ে বলেন, 'নিশ্চয় আমি তোমাদের মধ্যে আমলকারী কোনো নর বা নারীর আমল বিফল করি না, তোমরা একে অপরের অংশ। কাজেই যারা হিজরত করেছে, নিজ ঘর থেকে উৎখাত হয়েছে, আমার পথে নির্যাতিত হয়েছে এবং যুদ্ধ করেছে ও নিহত হয়েছে আমি তাদের পাপ কাজগুলো অবশ্যই দূর করব এবং অবশ্যই তাদেরকে প্রবেশ করাব জান্নাতে, যার পাদদেশে নদী প্রবাহিত। এটা আল্লাহর কাছ থেকে পুরস্কার, আর উত্তম পুরস্কার আল্লাহরই কাছে রয়েছে। যারা কুফুরী করেছে, দেশে দেশে তাদের অবাধ বিচরণ যেন কিছুতেই আপনাকে বিভ্রান্ত না করে। এ তো স্বল্পকালীন ভোগ মাত্র, তারপর জাহান্নাম তাদের আবাস, আর ওটা কত নিকৃষ্ট বিশ্রামস্থল! কিন্তু যারা তাদের রবকে ভয় করে তাদের জন্য রয়েছে জান্নাত, যার পাদদেশে নদী প্রবাহিত, সেখানে তারা স্থায়ী হবে। এ হচ্ছে আল্লাহর পক্ষ থেকে আতিথেয়তা; আর আল্লাহর কাছে যা আছে তা সৎকর্মপরায়ণদের জন্য উত্তম। আর নিশ্চয় কিতাবীদের মধ্যে এমন লোকও আছে যারা আল্লাহর প্রতি বিনয়াবনত হয়ে তাঁর প্রতি এবং তিনি যা তোমাদের ও তাদের প্রতি নাযিল করেছেন তাতে ঈমান আনে। তারা আল্লাহর আয়াত তুচ্ছ মূল্যে বিক্রি করে না। তারাই, যাদের জন্য আল্লাহর কাছে পুরস্কার রয়েছে। নিশ্চয় আল্লাহ দ্রুত হিসাব গ্রহণকারী। দহ ঈমানদারগণ! তোমরা ধৈর্য ধারণ কর, ধৈর্যে প্রতিযোগিতা কর এবং সব সময় যুদ্ধের জন্য প্রস্তুত থাক, আর আল্লাহর তাকওয়া অবলম্বন কর; যাতে তোমরা সফলকাম হতে পার""।","সূ রা আমি ইমরান, আয়াত: ১৯০-২০০; বু খারী, ফাতহুি বারীসহ ৮/৩৩৭, নং ৪৫৬৯; মুসযিম ১/৫৩০, নং ২৫৬।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","26,27,28,29,30,31",ok,,إِنَّ فِي خَلْقِ السَّمَوَاتِ وَالْأَرْضِ وَاخْتِلَافِ اللَّيْلِ وَالنَّهَارِ لَآيَاتٍ لِأُولِي الْأَلْبَابِ الَّذِينَ يَذْكُرُونَ اللَّهَ قِيَامًا وَقُعُودًا وَعَلَىٰ جُنُوبِهِمْ وَيَتَفَكَّرُونَ فِي خَلْقِ السَّمَوَاتِ وَالْأَرْضِ رَبَّنَا مَا خَلَقْتَ هَٰذَا بَاطِلًا سُبْحَانَكَ فَقِنَا عَذَابَ ا
5,৪. অপরকে নতুন কাপড় পরিধান করতে দেখলে তার জন্য দো'আ,34,35,৭-(১),«تُبْلِيْ وَيُخْلِفُ اللّٰهُ تَعَالٰى»,তুবলী ওয়া ইউখলিফুল্লা-হু তা'আলা,"""তুমি পুরাতন করে ফেলবে, আর মহান আল্লাহ এর স্থলাভিষিক্ত করবেন""।","সু নান আযব দাউদ ৪/৪১, হাদীস নং ৪০২০; দদখুন, সহীহ আযব দাউদ ২/৭৬০।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","34,35",ok,,"«تُبْلِيْ وَيُخْلِفُ اللّٰهُ تَعَالٰى» (তুবলী ওয়া ইউখলিফুল্লা-হু তা'আলা)। ""তুমি পুরাতন করে ফেলবে, আর মহান আল্লাহ এর স্থলাভিষিক্ত করবেন""২১।"
6,৪. অপরকে নতুন কাপড় পরিধান করতে দেখলে তার জন্য দো'আ,35,35,৮-(২),«اِلْبَسْ جَدِيْدًا، وَعِشْ حَمِيْدًا، وَمُتْ شَهِيْدًا»,"ইলবাস জাদীদান, ওয়া 'ইশ হামীদান, ওয়া মুত শাহীদান","""নতুন কাপড় পরিধান কর, প্রশংসিতরূপে দিনাতিপাত কর এবং শহীদ হয়ে মারা যাও""।","সু নান ইবন মাোহ ২/১১৭৮, নং ৩৫৫৮; বার্াওয়ী, ১২/৪১। দদখুন, সহীহ ইবন মাোহ ২/২৭৫।",reference_recovered_from_pdftext,35,ok,,"«اِلْبَسْ جَدِيْدًا، وَعِشْ حَمِيْدًا، وَمُتْ شَهِيْدًا» (ইলবাস জাদীদান, ওয়া 'ইশ হামীদান, ওয়া মুত শাহীদান)। ""নতুন কাপড় পরিধান কর, প্রশংসিতরূপে দিনাতিপাত কর এবং শহীদ হয়ে মারা যাও""২২।"
7,৯. অযু শেষ করার পর যিকির,38,38,১৩-(১),«أَشْهَدُ أَنْ لَا إِلٰهَ إِلَّا اللّٰهُ وَحْدَهُ لَا شَرِيْكَ لَهُ وَأَشْهَدُ أَنَّ مُحَمَّدًا عَبْدُهُ وَرَسُوْلُهُ»,আশহাদু আল্লা-ইলা-হা ইল্লাল্লাহু ওয়াহদাহু লা- শারীকা লাহূ ওয়া আশহাদু আন্না মুহাম্মাদান 'আব্দুহূ ওয়া রাসূলুহূ,"""আমি সাক্ষ্য দিচ্ছি যে, একমাত্র আল্লাহ ছাড়া কোনো হক ইলাহ নেই, তাঁর কোনো শরীক নেই। আমি আরও সাক্ষ্য দিচ্ছি যে, মুহাম্মাদ তাঁর বান্দা ও রাসূল""।","মুসযিম ১/২০৯, নং ২৩৪।",reference_recovered_from_pdftext,38,ok,,"«أَشْهَدُ أَنْ لَا إِلٰهَ إِلَّا اللّٰهُ وَحْدَهُ لَا شَرِيْكَ لَهُ وَأَشْهَدُ أَنَّ مُحَمَّدًا عَبْدُهُ وَرَسُوْلُهُ» (আশহাদু আল্লা-ইলা-হা ইল্লাল্লাহু ওয়াহদাহু লা- শারীকা লাহূ ওয়া আশহাদু আন্না মুহাম্মাদান 'আব্দুহূ ওয়া রাসূলুহূ) ""আমি সাক্ষ্য দিচ্ছি যে, একমাত্র আল্লাহ ছাড়া কোনো হক ইলাহ নেই, তাঁর কোনো"
8,৯. অযু শেষ করার পর যিকির,38,39,১৪-(২),«اَللّٰهُمَّ اجْعَلْنِيْ مِنَ التَّوَّابِيْنَ وَاجْعَلْنِيْ مِنَ الْمُتَطَهِّرِيْنَ»,আল্লা-হুম্মাজ'আলনী মিনাত তাওয়াবীনা ওয়াজ'আলনী মিনাল মুতাতাহহিরীন,“হে আল্লাহ! আপনি আমাকে তাওবাকারীদের অন্তর্ভুক্ত করুন এবং পবিত্রতা অর্জনকারীদেরও অন্তর্ভুক্ত করুন।”,"যতযরযমিী-১/৭৮, নং ৫৫। আরও দদখুন, সহীহুত যতরযমিী, ১/১৮।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","38,39",ok,,«اَللّٰهُمَّ اجْعَلْنِيْ مِنَ التَّوَّابِيْنَ وَاجْعَلْنِيْ مِنَ الْمُتَطَهِّرِيْنَ» (আল্লা-হুম্মাজ'আলনী মিনাত তাওয়াবীনা ওয়াজ'আলনী মিনাল মুতাতাহহিরীন) “হে আল্লাহ! আপনি আমাকে তাওবাকারীদের অন্তর্ভুক্ত করুন এবং পবিত্রতা অর্জনকারীদেরও অন্তর্ভুক্ত
9,৯. অযু শেষ করার পর যিকির,39,40,১৫-(৩),سُبْحَانَكَ اللَّهُمَّ وَبِحَمْدِكَ، أَشْهَدُ أَنْ لَا إِلَهَ إِلَّا أَنْتَ، أَسْتَغْفِرُكَ وَأَتُوبُ إِلَيْكَ,সুবহানাকা আল্লা-হুম্মা ওয়া বিহামদিকা আশহাদু আল লা-ইলা-হা ইল্লা আন্তা আস্তাগফিরুকা ওয়া আ-তূবু ইলাইকা,"“হে আল্লাহ! আপনার প্রশংসাসহ পবিত্রতা ও মহিমা ঘোষণা করছি। আমি সাক্ষ্য দেই যে, আপনি ছাড়া","নাসাঈ, আমািু ি ইয়াওযম ওয়াি িাইিাহ, পৃ . ১৭৩। আরও দদখুন, ইরওয়াউি র্ািীি, ১/১৩৫, ৩/৯৪।","reference_recovered_from_pdftext,continued_from_previous_or_next_page","39,40",ok,,سُبْحَانَكَ اللَّهُمَّ وَبِحَمْدِكَ، أَشْهَدُ أَنْ لَا إِلَهَ إِلَّا أَنْتَ، أَسْتَغْفِرُكَ وَأَتُوبُ إِلَيْكَ (সুবহানাকা আল্লা-হুম্মা ওয়া বিহামদিকা আশহাদু আল লা-ইলা-হা ইল্লা আন্তা আস্তাগফিরুকা ওয়া আ-তূবু
10,১০. বাড়ী থেকে বের হওয়ার সময়ের যিকির,40,40,১৬-(১),بِسْمِ اللَّهِ، تَوَكَّلْتُ عَلَى اللَّهِ، وَلَا حَوْلَ وَلَا قُوَّةَ إِلَّا بِاللَّهِ,"বিসমিল্লাহি, তাওয়াককালতু 'আলাল্লা-হি, ওয়ালা হাওলা ওয়ালা কুওয়াতা ইল্লা বিল্লাহ",“আল্লাহর নামে (বের হচ্ছি)। আল্লাহর ওপর ভরসা করলাম। আর আল্লাহর সাহায্য ছাড়া (পাপ কাজ থেকে দূরে থাকার) কোনো উপায় এবং (সৎকাজ করার) কোনো শক্তি কারো নেই”।,"আবূ দাউদ ৪/৩২৫, নং ৫০৯৫; যতরযমিী ৫/৪৯০, ৩৪২৬। আরও দদখুন, সহীহুত যতরযমিী, ৩/১৫১।",reference_recovered_from_pdftext,40,ok,,"بِسْمِ اللَّهِ، تَوَكَّلْتُ عَلَى اللَّهِ، وَلَا حَوْلَ وَلَا قُوَّةَ إِلَّا بِاللَّهِ (বিসমিল্লাহি, তাওয়াককালতু 'আলাল্লা-হি, ওয়ালা হাওলা ওয়ালা কুওয়াতা ইল্লা বিল্লাহ)। “আল্লাহর নামে (বের হচ্ছি)। আল্লাহর ওপর"
