pdf_page,ocr_entry_count,arabic_block_count,reference_block_count,flags
23,1,2,1,"entry_arabic_count_mismatch,reference_count_mismatch"
24,1,1,0,
25,0,1,1,entry_arabic_count_mismatch
26,0,1,0,entry_arabic_count_mismatch
27,0,1,0,entry_arabic_count_mismatch
28,1,1,0,
29,0,0,0,
30,0,0,0,
31,0,0,0,
32,0,1,1,entry_arabic_count_mismatch
33,3,1,1,"entry_arabic_count_mismatch,reference_count_mismatch"
34,1,1,1,
35,2,2,1,reference_count_mismatch
36,1,1,1,
37,1,2,2,entry_arabic_count_mismatch
38,2,2,0,
39,1,1,0,
40,1,1,2,reference_count_mismatch
41,1,1,1,
42,1,1,1,
43,0,1,0,entry_arabic_count_mismatch
44,2,1,0,entry_arabic_count_mismatch
45,0,0,1,reference_count_mismatch
46,0,0,2,reference_count_mismatch
47,0,1,1,entry_arabic_count_mismatch
48,0,1,3,"entry_arabic_count_mismatch,reference_count_mismatch"
49,1,1,0,
50,1,2,0,entry_arabic_count_mismatch
51,1,1,0,
52,1,1,1,
53,0,0,1,reference_count_mismatch
54,0,1,1,entry_arabic_count_mismatch
55,0,1,0,entry_arabic_count_mismatch
56,1,1,1,
57,0,1,0,entry_arabic_count_mismatch
58,0,0,0,
59,0,0,0,
60,1,1,0,
61,0,1,0,entry_arabic_count_mismatch
62,0,0,0,
63,0,1,1,entry_arabic_count_mismatch
64,1,1,0,
65,0,0,0,
66,0,0,0,
67,1,1,2,reference_count_mismatch
68,0,3,1,"entry_arabic_count_mismatch,reference_count_mismatch"
69,2,1,1,"entry_arabic_count_mismatch,reference_count_mismatch"
70,2,2,1,reference_count_mismatch
71,1,2,2,entry_arabic_count_mismatch
72,1,0,0,entry_arabic_count_mismatch
73,2,2,1,reference_count_mismatch
74,0,2,1,"entry_arabic_count_mismatch,reference_count_mismatch"
75,2,1,0,entry_arabic_count_mismatch
76,0,1,1,entry_arabic_count_mismatch
77,1,1,0,
78,0,2,1,"entry_arabic_count_mismatch,reference_count_mismatch"
79,1,1,1,
80,0,1,1,entry_arabic_count_mismatch
81,1,1,0,
82,0,1,1,entry_arabic_count_mismatch
83,1,1,0,
84,1,1,1,
85,1,1,1,
86,0,1,0,entry_arabic_count_mismatch
87,0,1,0,entry_arabic_count_mismatch
88,1,1,0,
89,1,2,1,"entry_arabic_count_mismatch,reference_count_mismatch"
90,1,2,1,"entry_arabic_count_mismatch,reference_count_mismatch"
91,1,1,0,
92,1,1,0,
93,0,0,0,
94,1,1,1,
95,0,1,1,entry_arabic_count_mismatch
96,1,1,1,
97,1,1,1,
98,1,2,0,entry_arabic_count_mismatch
99,0,0,0,
100,1,1,0,
101,1,1,0,
102,0,1,0,entry_arabic_count_mismatch
103,0,1,0,entry_arabic_count_mismatch
104,0,3,0,entry_arabic_count_mismatch
105,0,1,1,entry_arabic_count_mismatch
106,1,1,0,
107,0,0,1,reference_count_mismatch
108,1,1,1,
109,1,1,1,
110,0,1,0,entry_arabic_count_mismatch
111,1,0,0,entry_arabic_count_mismatch
112,0,0,0,
113,0,1,0,entry_arabic_count_mismatch
114,0,1,1,entry_arabic_count_mismatch
115,1,1,0,
116,1,0,1,entry_arabic_count_mismatch
117,0,1,0,entry_arabic_count_mismatch
118,0,3,0,entry_arabic_count_mismatch
119,0,2,0,entry_arabic_count_mismatch
120,2,3,0,entry_arabic_count_mismatch
121,1,0,0,entry_arabic_count_mismatch
122,1,2,0,entry_arabic_count_mismatch
123,1,1,0,
124,0,1,0,entry_arabic_count_mismatch
125,0,1,0,entry_arabic_count_mismatch
126,1,1,0,
127,1,1,1,
128,0,1,1,entry_arabic_count_mismatch
129,1,1,0,
130,0,1,1,entry_arabic_count_mismatch
131,1,1,0,
132,0,0,1,reference_count_mismatch
133,1,1,0,
134,1,1,2,reference_count_mismatch
135,2,1,1,"entry_arabic_count_mismatch,reference_count_mismatch"
136,0,1,0,entry_arabic_count_mismatch
137,2,3,0,entry_arabic_count_mismatch
138,0,0,1,reference_count_mismatch
139,2,2,0,
140,2,2,1,reference_count_mismatch
141,1,1,2,reference_count_mismatch
142,2,1,1,"entry_arabic_count_mismatch,reference_count_mismatch"
143,1,2,0,entry_arabic_count_mismatch
144,5,1,1,"entry_arabic_count_mismatch,reference_count_mismatch"
145,3,2,2,"entry_arabic_count_mismatch,reference_count_mismatch"
146,0,0,0,
147,0,2,0,entry_arabic_count_mismatch
148,0,1,0,entry_arabic_count_mismatch
149,0,1,1,entry_arabic_count_mismatch
150,1,1,0,
151,0,1,1,entry_arabic_count_mismatch
152,0,1,0,entry_arabic_count_mismatch
153,0,0,0,
154,0,1,1,entry_arabic_count_mismatch
155,1,2,0,entry_arabic_count_mismatch
156,1,1,1,
157,1,1,1,
158,0,2,2,entry_arabic_count_mismatch
159,1,1,1,
160,1,1,0,
161,2,1,0,entry_arabic_count_mismatch
162,0,1,0,entry_arabic_count_mismatch
163,0,0,1,reference_count_mismatch
164,1,1,1,
165,1,0,0,entry_arabic_count_mismatch
166,0,1,1,entry_arabic_count_mismatch
167,1,1,1,
168,0,0,1,reference_count_mismatch
169,1,1,0,
170,0,0,0,
171,1,1,1,
172,0,1,1,entry_arabic_count_mismatch
173,0,1,0,entry_arabic_count_mismatch
174,1,2,0,entry_arabic_count_mismatch
175,1,1,1,
176,1,0,0,entry_arabic_count_mismatch
177,1,1,1,
178,1,1,1,
179,0,1,1,entry_arabic_count_mismatch
180,1,2,1,"entry_arabic_count_mismatch,reference_count_mismatch"
181,1,1,1,
182,2,2,1,reference_count_mismatch
183,1,1,0,
184,0,1,0,entry_arabic_count_mismatch
185,1,1,0,
186,0,1,0,entry_arabic_count_mismatch
187,2,1,0,entry_arabic_count_mismatch
188,1,1,2,reference_count_mismatch
189,2,2,1,reference_count_mismatch
190,1,1,0,
191,0,1,1,entry_arabic_count_mismatch
192,1,1,1,
193,0,0,2,reference_count_mismatch
194,0,1,0,entry_arabic_count_mismatch
195,1,1,1,
196,1,1,1,
197,2,0,0,entry_arabic_count_mismatch
198,2,2,1,reference_count_mismatch
199,1,1,2,reference_count_mismatch
200,0,0,1,reference_count_mismatch
201,2,2,0,
202,1,1,1,
203,2,1,1,"entry_arabic_count_mismatch,reference_count_mismatch"
204,1,1,1,
205,0,1,0,entry_arabic_count_mismatch
206,1,1,0,
207,0,0,0,
208,1,1,0,
209,1,1,1,
210,1,1,1,
211,1,1,0,
212,0,2,1,"entry_arabic_count_mismatch,reference_count_mismatch"
213,1,1,0,
214,0,0,1,reference_count_mismatch
215,1,1,0,
216,2,2,0,
217,2,2,1,reference_count_mismatch
218,1,1,0,
219,1,0,1,entry_arabic_count_mismatch
220,0,2,1,"entry_arabic_count_mismatch,reference_count_mismatch"
221,0,1,0,entry_arabic_count_mismatch
222,1,1,1,
223,0,2,1,"entry_arabic_count_mismatch,reference_count_mismatch"
224,2,1,2,entry_arabic_count_mismatch
225,2,2,0,
226,1,1,0,
227,1,1,0,
228,0,1,2,"entry_arabic_count_mismatch,reference_count_mismatch"
229,2,2,1,reference_count_mismatch
230,2,2,0,
231,1,1,0,
232,0,1,1,entry_arabic_count_mismatch
233,1,1,0,
234,1,2,0,entry_arabic_count_mismatch
235,1,0,1,entry_arabic_count_mismatch
236,0,2,1,"entry_arabic_count_mismatch,reference_count_mismatch"
237,2,1,0,entry_arabic_count_mismatch
238,0,3,0,entry_arabic_count_mismatch
239,1,1,1,
240,1,1,1,
241,1,1,1,
242,1,2,0,entry_arabic_count_mismatch
243,1,1,0,
244,2,1,1,"entry_arabic_count_mismatch,reference_count_mismatch"
245,0,1,1,entry_arabic_count_mismatch
246,2,1,1,"entry_arabic_count_mismatch,reference_count_mismatch"
247,1,1,0,
248,2,2,1,reference_count_mismatch
249,3,1,1,"entry_arabic_count_mismatch,reference_count_mismatch"
250,1,2,2,entry_arabic_count_mismatch
251,1,0,1,entry_arabic_count_mismatch
252,0,1,0,entry_arabic_count_mismatch
253,0,1,0,entry_arabic_count_mismatch
254,1,1,0,
255,0,1,0,entry_arabic_count_mismatch
256,1,1,0,
257,0,0,1,reference_count_mismatch
258,1,1,0,
259,2,2,2,
260,2,1,1,"entry_arabic_count_mismatch,reference_count_mismatch"
261,1,1,1,
