id,bengali-id,footnote-text,page,chapter
15,১৫,"বুখারী ফাতহুল বারী ১১/১১৩, নং ৬৩১৪; মুসলিম ৪/২০৮৩, নং ২৭১১।",23,১: ঘুম থেকে জেগে উঠার সময়ের যিকিরসমূহ
16,১৬,"যে ব্যক্তি তা বলবে তাকে ক্ষমা করে দেওয়া হবে। যদি সে দো'আ করে, তবে তার দো'আ কবুল হবে। যদি সে উঠে অযু করে নামায পড়ে, তবে তার নামায কবুল করা হবে। বুখারী: ফাতহুল বারী, ৩/৩৯, নং ১১৫৪। হাদীসের ভাষ্য ইবন মাজাহ এর অনুরূপ। দেখুন, সহীহ ইবন মাজাহ: ২/৩৩৫।",25,১: ঘুম থেকে জেগে উঠার সময়ের যিকিরসমূহ
17,১৭,"তিরমিযী ৫/৪৭৩, নং ৩৪০১। দেখুন, সহীহুত তিরমিযী, ৩/১৪৪।",26,১: ঘুম থেকে জেগে উঠার সময়ের যিকিরসমূহ
18,১৮,"সূরা আলে ইমরান, আয়াত: ১৯০-২০০; বুখারী, ফাতহুল বারীসহ ৮/৩৩৭, নং ৪৫৬৯; মুসলিম ১/৫৩০, নং ২৫৬",32,১: ঘুম থেকে জেগে উঠার সময়ের যিকিরসমূহ
19,১৯,"হাদীসটি নাসাঈ ব্যতীত সুনান গ্রন্থকারদের সবাই সংকলন করেছেন। আবূ দাউদ, নং ৪০২৩; তিরমিযী, নং ৩৪৫৮; ইবন মাজাহ, নং ৩২৮৫। আর শাইখ আলবানী একে হাসান বলেছেন। দেখুন, ইরওয়াউল গালীল, ৭/৪৭।",33,২: কাপড় পরিধানের দো'আ
20,২০,"আবূ দাউদ, নং ৪০২০; তিরমিযী, নং ১৭৬৭; বাগভী, ১২/৪০; দেখুন, মুখতাসারুশ শামাইল লিল আলবানী, পৃ. ৪৭।",34,৩: নতুন কাপড় পরিধানের দো'আ
21,২১,"সুনান আবি দাউদ ৪/৪১, হাদীস নং ৪০২০; দেখুন, সহীহ আবি দাউদ ২/৭৬০।",35,৪: অপরকে নতুন কাপড় পরিধান করতে দেখলে তার জন্য দো'আ
22,২২,"সুনান ইবন মাজাহ ২/১১৭৮, নং ৩৫৫৮; বাগাওয়ী, ১২/৪১। দেখুন, সহীহ ইবন মাজাহ ২/২৭৫।",35,৪: অপরকে নতুন কাপড় পরিধান করতে দেখলে তার জন্য দো'আ
23,২৩,"তিরমিযী ২/৫০৫, নং ৬০৬, ও অন্যান্য। আরও দেখুন, ইরওয়াউল গালীল, নং ৫০; সহীহুল জামে' ৩/২০৩।",36,৫: কাপড় খুলে রাখার সময় কী বলবে
24,২৪,"বুখারী ১/৪৫, নং ১৪২; মুসলিম ১/২৮৩, নং ৩৭৫। শুরুতে অতিরিক্ত 'বিসমিল্লাহ্' উদ্ধৃত করেছেন সা'ঈদ ইবন মানসূর। দেখুন, ফাতহুল বারী, ১/২৪৪।",36,৬: পায়খানায় প্রবেশের দো'আ
25,২৫,"হাদীসটি নাসাঈ ব্যতীত সকল সুনান গ্রন্থকারই উদ্ধৃত করেছেন; তবে নাসাঈ তার 'আমালুল ইয়াওমি ওয়াললাইলাহ' গ্রন্থে (নং ৭৯) তা উদ্ধৃত করেছেন। আবূ দাউদ, নং ৩০; তিরমিযী, নং ৭; ইবন মাজাহ, নং ৩০০। আর শাইখ আলবানী সহীহ সুনান আবি দাউদে ১/১৯ একে সহীহ বলেছেন।",37,৭: পায়খানা থেকে বের হওয়ার দো'আ
26,২৬,"আবূ দাউদ, নং ১০১; ইবন মাজাহ, নং ৩৯৭; আহমাদ নং ৯৪১৮। আরও দেখুন, ইরওয়াউল গালীল ১/১২২।",37,৮: অযুর পূর্বে যিকির
27,২৭,"মুসলিম ১/২০৯, নং ২৩৪।",38,৯: অযু শেষ করার পর যিকির
28,২৮,"তিরিমিযী-১/৭৮, নং ৫৫। আরও দেখুন, সহীহুত তিরমিযী, ১/১৮।",39,৯: অযু শেষ করার পর যিকির
29,২৯,"নাসাঈ, আমালুল ইয়াওমি ওয়াল লাইলাহ, পৃ. ১৭৩। আরও দেখুন, ইরওয়াউল গালীল, ১/১৩৫, ৩/৯৪।",40,৯: অযু শেষ করার পর যিকির
30,৩০,"আবূ দাউদ ৪/৩২৫, নং ৫০৯৫; তিরমিযী ৫/৪৯০, ৩৪২৬। আরও দেখুন, সহীহুত তিরমিযী, ৩/১৫১।",40,১০: বাড়ি থেকে বের হওয়ার সময়ের যিকির
31,৩১,"সুনান গ্রন্থকারগণ: আবূ দাউদ, নং ৫০৯৪; তিরমিযী, নং ৩৪২৭; নাসাঈ, নং ৫৫০১; ইবন মাজাহ, নং ৩৮৮৪। আরও দেখুন, সহীহুত তিরমিযী ৩/১৫২; সহীহ ইবন মাজাহ ২/৩৩৬।",41,১০: বাড়ি থেকে বের হওয়ার সময়ের যিকির
32,৩২,"আবূ দাউদ ৪/৩২৫, ৫০৯৬। আর আল্লামা ইবন বায রহ. তার তুহফাতুল আখইয়ার গ্রন্থে পৃ. ২৮ এটার সনদকে হাসান বলেছেন। তাছাড়া সহীহ হাদীসে এসেছে, ""যখন তোমাদের কেউ ঘরে প্রবেশ করে, আর প্রবেশের সময় ও খাবারের সময় আল্লাহকে স্মরণ করে, তখন শয়তান (নিজ ব্যক্তিদের) বলে, তোমাদের কোনো বাসস্থান নেই, তোমাদের রাতের কোনো খাবার নেই।” মুসলিম, নং ২০১৮।",42,১১: ঘরে প্রবেশের সময় যিকির
33,৩৩,"এ শব্দগুলোর জন্য দেখুন, বুখারী, (ফাতহুল বারীসহ) ১১/১১৬, নং ৬৩১৬; মুসলিম ১/৫২৬, ৫২৯, ৫৩০, নং ৭৬৩।",45,১২: মসজিদে যাওয়ার সময়ে পড়ার দো'আ
34,৩৪,"তিরমিযী ৫/৪৮৩, নং ৩৪১৯।",45,১২: মসজিদে যাওয়ার সময়ে পড়ার দো'আ
35,৩৫,"ইমাম বুখারী, আল-আদাবুল মুফরাদ, নং ৬৯৫; পৃ. ২৫৮; আর আলবানী সেটার সনদকে সহীহ আদাবিল মুফরাদে সহীহ বলেছেন, নং ৫৩৬।",46,১২: মসজিদে যাওয়ার সময়ে পড়ার দো'আ
